DwellingType,ZoneType,UtilitiesType,BuildingType,HouseStyleType,OverallQuality,OverallConditions,YearBuilt,YearRemodel,RoofStyleType,RoofMaterial,ExteriorMaterial,ExteriorQuality,ExteriorConditions,FoundationMaterial,TotalBasementArea,HeatingType,HeatingQuality,HasAirConditioning,FirstFloorArea,SecondFloorArea,NumberOfBathrooms,NumberOfBedrooms,NumberOfKitchen,KitchenQuality,TotalNumberOfRooms,GarageType,GarageYearBuilt,GarageNumberOfCars,GarageArea,GarageQuality,GarageCondition,PoolArea,PoolQuality,FenceQuality,Label,Price,MoSold,YrSold
60,6,1,1,4,4,3,1994,2002,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,948,2,1,1,1222,888,2,3,1,2,8,2,1994,2,463,2,2,0,4,4,14200,142000,5,2010
20,6,1,1,1,4,3,1988,1988,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1845,2,2,1,1872,0,2,3,1,3,6,2,1988,2,604,2,2,0,4,4,14200,142000,6,2006
190,8,1,2,4,3,4,1910,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,6798904E-1EFF-407F-8744-33C36445D544,3,4,0A3D4A31-A6D5-48EC-8EFA-4D7A3FCEE7BD,1020,2,2,0,908,1020,2,4,2,4,9,6,1910,1,440,3,3,0,4,4,14200,142000,4,2006
20,6,1,1,1,3,3,1954,1954,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1367,2,1,1,1375,0,1,2,1,3,5,2,1954,2,451,2,2,0,4,4,14200,142000,6,2006
60,6,1,1,4,4,3,2003,2003,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,840,2,1,1,840,828,2,3,1,2,8,2,2003,2,500,2,2,0,4,4,14212.5,142125,9,2007
50,6,1,1,2,3,4,1958,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,2,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1444,2,2,1,1444,700,2,4,1,2,7,2,1958,2,389,2,2,0,4,4,14250,142500,6,2007
30,6,1,1,1,2,1,1940,1966,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,5,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,728,2,1,1,1306,0,1,3,1,4,6,7,0,0,0,4,4,0,4,2,14250,142500,5,2010
120,8,1,4,1,4,3,2006,2007,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1573,2,1,1,1625,0,2,2,1,2,5,2,2006,2,538,2,2,0,4,4,14300,143000,12,2007
60,6,1,1,4,3,3,2004,2004,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,798,2,1,1,798,842,2,3,1,2,6,2,2004,2,520,2,2,0,4,4,14300,143000,12,2008
80,6,1,1,8,3,4,1964,1991,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1302,2,1,1,1302,0,2,3,1,2,7,2,1964,1,309,2,2,0,4,1,14300,143000,10,2007
20,6,1,1,1,3,3,1957,1957,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1314,2,3,1,1314,0,1,3,1,3,5,2,1957,1,294,2,2,0,4,4,14325,143250,6,2010
60,6,1,1,4,4,3,1999,1999,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,975,2,1,1,1005,1286,2,4,1,2,8,4,1999,2,429,2,2,0,4,4,14350,143500,2,2006
60,3,1,1,4,3,3,2003,2003,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,864,2,1,1,864,864,2,3,1,2,7,2,2003,2,673,2,2,0,4,4,14350,143500,5,2008
20,6,1,1,1,4,3,2006,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1604,2,1,1,1604,0,2,3,1,2,8,2,2006,2,660,2,2,0,4,4,14390,143900,3,2009
60,6,1,1,4,4,3,2001,2001,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,963,2,1,1,963,829,2,3,1,2,7,2,2001,2,564,2,2,0,4,4,14400,144000,5,2008
20,8,1,1,1,3,3,1956,1956,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,277ED534-9DD8-4468-B15F-989F6EEBB6D5,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,0,2,2,1,882,0,1,2,1,3,4,6,1956,1,308,2,2,0,4,4,14400,144000,12,2008
80,6,1,1,8,3,3,1962,1962,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1362,2,3,1,1382,0,1,3,1,3,6,2,1991,2,884,2,2,0,4,2,14400,144000,5,2009
60,6,1,1,4,4,3,2007,2007,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,AAE85B7F-8DAF-4D7F-8974-2B9F23B452AF,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1482,2,1,1,1482,1092,2,3,1,1,10,4,2007,3,868,2,2,0,4,4,14450,144500,11,2007
80,6,1,1,8,3,4,1977,1995,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,506,2,3,1,1212,0,1,3,1,3,6,2,1978,2,492,2,2,0,4,2,14490,144900,7,2006
50,8,1,1,2,3,4,1929,2001,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,926,2,3,1,926,0,1,3,1,3,6,6,1974,2,484,2,2,0,4,4,14500,145000,4,2010
30,8,1,1,1,3,3,1925,2004,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,680,2,2,0,764,0,1,2,1,3,4,6,1965,2,504,2,2,0,4,4,14500,145000,6,2008
20,6,1,1,1,3,3,1981,1981,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1422,2,3,1,1422,0,2,3,1,2,7,2,1981,2,576,2,2,0,4,1,14500,145000,6,2008
60,6,1,1,4,3,3,1997,1997,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,802,2,2,1,802,709,2,3,1,3,8,2,1997,2,413,2,2,0,4,4,14500,145000,6,2006
75,6,1,1,5,3,4,1939,1997,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,720,2,1,1,1052,720,2,4,1,2,8,6,1939,1,240,2,2,0,4,4,14500,145000,7,2008
30,8,1,1,1,3,3,1940,1955,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,740,2,1,1,778,0,1,2,1,3,4,6,1966,1,924,1,1,0,4,4,14525,145250,2,2008
20,6,1,1,1,3,4,1976,1976,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1143,2,3,1,1113,0,1,3,1,3,6,2,1987,1,504,2,1,0,4,1,14550,145500,5,2007
60,3,1,1,4,4,3,2006,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1095,2,2,1,1095,844,2,3,1,2,8,2,2006,3,1053,2,2,0,4,4,14600,146000,8,2006
20,6,1,1,1,4,4,1954,2005,1,3FF48134-4C5B-461A-A927-7F90476A586E,0102B9C9-98A7-4CBD-8019-52E96750794E,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1385,2,1,1,1363,0,1,2,1,3,5,2,1954,2,439,2,2,0,4,4,14700,147000,4,2008
60,6,1,1,4,4,4,1999,2007,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1152,2,1,1,1164,1106,2,4,1,2,9,2,1999,3,671,2,2,0,4,4,14700,147000,4,2010
20,6,1,1,1,3,3,1958,1988,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1240,2,2,1,1632,0,2,3,1,3,6,2,1958,1,338,2,2,0,4,1,14700,147000,4,2009
20,6,1,1,1,3,4,1982,1982,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,816,2,3,1,816,0,1,2,1,3,5,2,1982,1,264,2,2,0,4,4,14700,147000,6,2007
50,6,1,1,2,4,4,1925,2007,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,2,2,990666D4-DC69-4DB5-9525-8EA305C3904A,952,3,2,0,952,596,2,3,1,1,5,6,1978,2,672,2,2,0,4,4,14750,147500,10,2009
20,6,1,1,1,4,3,2003,2003,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1560,2,1,1,1560,0,2,3,1,2,7,2,2003,2,573,2,2,0,4,4,14800,148000,4,2010
20,6,1,1,1,2,3,1951,1951,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,864,2,1,1,864,0,1,2,1,3,4,6,1951,2,400,2,2,0,4,4,14800,148000,6,2010
20,6,1,1,1,5,3,2006,2007,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,AAE85B7F-8DAF-4D7F-8974-2B9F23B452AF,1,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,2121,2,1,1,2121,0,2,3,1,1,8,2,2007,3,732,2,2,0,4,4,14800,148000,5,2007
60,6,1,1,4,4,3,1977,1977,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,0102B9C9-98A7-4CBD-8019-52E96750794E,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1160,2,1,1,1156,866,2,4,1,3,8,2,1977,2,505,2,2,0,4,4,14850,148500,3,2008
60,6,1,1,4,4,3,1989,1989,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,0102B9C9-98A7-4CBD-8019-52E96750794E,2,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,807,2,2,1,1175,807,2,3,1,2,7,2,1989,2,575,2,2,0,4,4,14900,149000,1,2007
20,3,1,1,1,3,3,2006,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1262,2,2,1,1262,0,2,2,1,2,5,2,2006,2,572,2,2,0,4,4,14935,149350,5,2006
120,6,1,5,1,4,3,2007,2008,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1314,2,1,1,1314,0,2,2,1,2,6,2,2008,2,626,2,2,0,4,4,14950,149500,4,2009
20,6,1,1,1,4,3,2008,2009,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1468,2,1,1,1468,0,2,3,1,2,6,2,2008,3,898,2,2,0,4,4,14990,149900,12,2009
120,6,1,4,1,3,3,1992,1992,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,0102B9C9-98A7-4CBD-8019-52E96750794E,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1575,2,2,1,1575,0,2,2,1,2,5,2,1992,2,529,2,2,0,4,4,14990,149900,7,2007
160,3,1,4,4,4,3,2006,2007,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,625,2,1,1,625,625,2,2,1,2,5,6,2006,2,528,2,2,0,4,4,14990,149900,6,2007
50,6,1,1,2,3,4,1962,1981,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,912,2,3,1,1085,649,1,3,1,2,7,2,1962,2,440,2,2,0,4,1,15000,150000,6,2006
20,6,1,1,1,2,2,1971,1971,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,858,2,3,1,858,0,1,3,1,3,5,7,0,0,0,4,4,0,4,4,15000,150000,6,2006
20,6,1,1,1,3,3,1967,1967,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,882,2,3,1,900,0,1,3,1,3,5,6,1970,1,280,2,2,0,4,1,15000,150000,2,2010
70,6,1,1,4,3,4,1915,2003,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,698,2,1,1,698,698,1,3,1,3,7,6,2003,1,384,2,2,0,4,4,15050,150500,7,2007
60,6,1,1,4,4,3,2006,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1079,2,1,1,1079,840,2,3,1,2,8,2,2006,2,685,1,2,0,4,4,15075,150750,7,2006
190,6,1,2,4,3,3,1912,2000,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,4,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,780,2,1,0,936,780,2,6,1,4,9,7,0,0,0,4,4,0,4,4,15100,151000,3,2008
50,6,1,1,2,3,2,1949,2008,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,768,2,2,1,1148,568,1,3,1,3,8,2,1949,1,281,2,2,0,4,4,15150,151500,1,2009
60,6,1,1,4,4,4,1977,1994,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,0102B9C9-98A7-4CBD-8019-52E96750794E,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,795,2,4,1,1468,795,2,3,1,2,9,2,1977,2,539,2,2,0,4,4,15200,152000,3,2006
20,6,1,1,1,3,3,1953,1953,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1416,2,3,1,1644,0,1,3,1,3,7,2,1953,2,418,2,2,0,4,4,15200,152000,10,2009
80,6,1,1,8,3,3,1984,1984,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1003,2,3,1,1003,0,1,3,1,3,6,6,1984,2,588,2,2,0,4,1,15200,152000,3,2006
50,8,1,1,2,3,3,1950,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,910,2,3,1,910,648,1,4,1,3,6,2,1950,1,282,2,2,0,4,1,15300,153000,6,2007
60,3,1,1,4,4,3,1997,1998,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,975,2,1,1,975,975,2,3,1,2,7,6,1997,2,576,2,2,0,4,4,15300,153000,6,2007
60,6,1,1,4,3,3,1968,1968,5,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,2,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,702,2,2,1,1041,702,1,3,1,3,7,2,1968,2,539,2,2,0,4,4,15350,153500,6,2007
20,6,1,1,1,3,4,1950,2004,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1092,2,1,1,1152,0,1,3,1,2,6,2,1950,1,300,2,2,0,4,1,15400,154000,8,2009
190,6,1,2,1,3,3,1953,1953,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1165,2,3,1,1336,0,1,2,1,3,5,2,1953,1,375,2,2,0,4,4,15400,154000,6,2006
60,6,1,1,4,4,3,1998,1999,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1028,2,1,1,1210,1242,2,4,1,2,9,4,1998,2,683,2,2,0,4,4,15400,154000,5,2007
20,6,1,1,1,4,3,2001,2002,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1541,2,1,1,1541,0,2,3,1,2,6,2,2001,3,843,2,2,0,4,4,15450,154500,1,2006
20,6,1,1,1,3,4,1972,1972,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,894,2,3,1,894,0,1,3,1,3,5,2,1975,2,552,2,2,0,4,2,15500,155000,7,2006
75,8,1,1,5,4,5,1880,2002,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,AAE85B7F-8DAF-4D7F-8974-2B9F23B452AF,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,1470,2,1,1,1675,1818,3,3,1,2,10,2,2003,3,870,2,2,0,4,4,15500,155000,5,2008
20,6,1,1,1,4,3,2004,2005,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,AAE85B7F-8DAF-4D7F-8974-2B9F23B452AF,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,2000,2,1,1,2000,0,2,3,1,2,8,2,2004,3,888,2,2,0,4,4,15500,155000,7,2007
60,6,1,1,4,4,3,1990,1991,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,2,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,700,2,2,1,1122,1121,2,4,1,2,8,2,1990,3,746,2,2,0,4,4,15500,155000,6,2007
50,8,1,1,2,3,4,1920,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,4,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,319,2,3,1,1035,371,1,3,1,4,6,7,0,0,0,4,4,0,4,1,15500,155000,3,2008
30,6,1,1,1,2,3,1940,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,861,2,1,1,861,0,1,1,1,3,4,6,1961,2,539,2,2,0,4,4,15500,155000,3,2009
20,6,1,1,1,5,3,2003,2004,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1896,2,1,1,1944,0,2,3,1,1,8,2,2003,3,708,2,2,0,4,4,15500,155000,11,2006
60,6,1,1,4,3,3,1993,1994,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,697,2,2,1,697,804,2,3,1,2,6,2,1993,2,420,2,2,0,4,4,15600,156000,5,2006
20,6,1,1,1,3,3,1948,2002,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,972,2,1,1,972,0,1,2,1,3,5,6,1948,1,240,2,2,0,4,4,15600,156000,5,2009
190,8,1,2,2,3,4,1939,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,793,2,3,1,793,325,1,3,1,3,5,6,1939,2,410,2,2,0,4,1,15600,156000,5,2006
20,6,1,1,1,4,3,1965,1965,4,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,277ED534-9DD8-4468-B15F-989F6EEBB6D5,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,2136,3,3,1,2036,0,2,3,1,3,8,2,1965,2,513,2,2,0,4,4,15650,156500,6,2009
70,8,1,1,4,4,4,1925,1990,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,3,3,990666D4-DC69-4DB5-9525-8EA305C3904A,728,2,1,1,832,809,1,3,1,1,6,6,1925,2,546,2,2,0,4,4,15700,157000,8,2006
60,6,1,1,4,4,3,2004,2005,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,716,2,1,1,716,716,2,3,1,2,6,2,2004,2,432,2,2,0,4,4,15700,157000,7,2009
60,6,1,1,4,4,4,1980,1980,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,AAE85B7F-8DAF-4D7F-8974-2B9F23B452AF,2,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,845,2,3,1,1153,1200,2,4,1,1,10,2,1983,2,484,2,2,0,4,1,15700,157000,8,2009
60,3,1,1,4,4,3,2006,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1088,2,1,1,1088,871,2,3,1,2,8,2,2006,3,1025,2,2,0,4,4,15700,157000,12,2007
60,6,1,1,4,4,3,1993,1993,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,A746B3DE-1205-46A8-9BE6-1D58B0367728,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1347,2,1,1,1372,1274,2,4,1,2,9,2,1993,3,656,2,2,0,4,4,15750,157500,4,2009
80,6,1,1,8,4,3,1980,1980,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,0102B9C9-98A7-4CBD-8019-52E96750794E,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1372,2,3,1,1472,0,2,3,1,3,6,2,1980,2,588,2,2,0,4,4,15790,157900,6,2009
60,6,1,1,4,5,3,2006,2006,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1249,2,1,1,1249,1347,3,4,1,2,9,2,2006,3,840,2,2,0,4,4,15790,157900,9,2006
60,6,1,1,4,4,3,2004,2004,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,2,3,E22DAC95-72C8-47BA-B19D-EF59AAD01C08,1136,2,1,1,1136,1332,2,4,1,2,10,4,2004,3,872,2,2,0,4,4,15800,158000,6,2007
60,6,1,1,4,4,3,1986,1987,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,0102B9C9-98A7-4CBD-8019-52E96750794E,2,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1502,2,1,1,1553,1177,2,4,1,2,8,2,1987,2,576,2,2,0,4,1,15800,158000,8,2007
20,8,1,1,1,2,4,1955,2005,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,C104E89E-A79A-447B-B7F3-5B012D983BF1,3,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,1162,2,1,1,1163,0,1,3,1,3,6,2,1955,1,220,2,2,0,4,4,15850,158500,7,2006
80,6,1,1,8,4,4,1967,2007,5,CF9CE932-4C02-46F0-B05E-33B38BA1AD4E,4B1DFC34-7970-4926-BF75-0DA2A5EE235C,2,2,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,710,2,1,1,1898,1080,2,5,1,2,11,4,1961,2,564,2,2,0,4,4,15900,159000,6,2010
45,8,1,1,3,3,3,1941,1950,2,547FAAF7-BB29-4364-B6E0-7452CE4B6F08,106B95FF-4D5B-4FCE-9139-CBD840B33D12,3,3,0F3B9D4D-1FC3-4022-8D0F-1AD9680D57A3,720,2,5,0,803,0,1,2,1,3,5,6,1941,2,360,2,2,0,4,4,15900,159000,12,2007
